proyect,ident,source_data,source_metadata,age,notes,healthy how,cells_estimate
chan_zuckerberg,D6_CZ,https://us-west-2.console.aws.amazon.com/s3/buckets/czb-tabula-sapiens?region=us-west-2&bucketType=general&prefix=Pilot6/fastqs/10X/Aug19NovaSeqRun/&showversions=false,https://tabula-sapiens.sf.czbiohub.org/whereisthedata,67.0,overweight,NA,2500
chan_zuckerberg,D14_CZ,https://us-west-2.console.aws.amazon.com/s3/buckets/czb-tabula-sapiens?region=us-west-2&bucketType=general&prefix=Pilot14/fastqs/10X/&showversions=false,https://tabula-sapiens.sf.czbiohub.org/whereisthedata,59.0,"hypercholesterolemia, smoking and drinking, hypertension",NA,2500
ORG_15,D1_ORG15,https://explore.data.humancellatlas.org/projects/376a7f55-b876-4f60-9cf3-ed7bc83d5415/get-curl-command,NA,31.0,PM,transplant_candidate,5625
immune_cells,D1_IC,https://explore.data.humancellatlas.org/projects/559bb888-7829-41f2-ace5-2c05c7eb81e9/get-curl-command,https://storage.googleapis.com/datarepo-464bbfaa-bucket/dfeadde7-818d-490b-9b06-2d923bc49091/82f29970-a3d6-4e61-88cc-dfeef1a9b225/HumanLiverImmuneCells_GSE125188_metadata_18-07-2023.xlsx?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=datarepo-jade-api%40terra-datarepo-production.iam.gserviceaccount.com%2F20240930%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240930T175624Z&X-Goog-Expires=900&X-Goog-SignedHeaders=host&requestedBy=azul-ucsc-0-public-prod%40platform-hca-prod.iam.gserviceaccount.com&userProject=datarepo-c35a61eb&X-Goog-Signature=769c3c8de5b2dfc1c9c9720bda6b827d9dba72faffcb0092da0e31ae3f5a7d45ed38b15b90baae1176fe616c56eee3880b765db7e35156b6d199a054928d96e360766be6d1d0451180d36d75a68a9bca930200fe39b4c9935b7c567e8e07782d658c1c229139e5174113cafa06d658758e832029494d4d5ea055c37ff0fcde6a7fc6376166c89f1f0c3aef3e8b6003a37c66520c92f62ad26adc0712c63882d36fdd2ee945ffcf0f2d53a4c65aab696250797ee75231c02f309b686c249d061d5bed61534840765e5ec8aa7009b05db9f6d793926b44aec38903fb391020c37294bfebd8a1370d597b69c418c0e4d8e97e41a16145d83d8e0027c0a27eef8e83,41.0,"CD45ONLY, PM",transplant_candidate,23000
immune_cells,D2_IC,https://explore.data.humancellatlas.org/projects/559bb888-7829-41f2-ace5-2c05c7eb81e9/get-curl-command,https://storage.googleapis.com/datarepo-464bbfaa-bucket/dfeadde7-818d-490b-9b06-2d923bc49091/82f29970-a3d6-4e61-88cc-dfeef1a9b225/HumanLiverImmuneCells_GSE125188_metadata_18-07-2023.xlsx?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=datarepo-jade-api%40terra-datarepo-production.iam.gserviceaccount.com%2F20240930%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240930T175624Z&X-Goog-Expires=900&X-Goog-SignedHeaders=host&requestedBy=azul-ucsc-0-public-prod%40platform-hca-prod.iam.gserviceaccount.com&userProject=datarepo-c35a61eb&X-Goog-Signature=769c3c8de5b2dfc1c9c9720bda6b827d9dba72faffcb0092da0e31ae3f5a7d45ed38b15b90baae1176fe616c56eee3880b765db7e35156b6d199a054928d96e360766be6d1d0451180d36d75a68a9bca930200fe39b4c9935b7c567e8e07782d658c1c229139e5174113cafa06d658758e832029494d4d5ea055c37ff0fcde6a7fc6376166c89f1f0c3aef3e8b6003a37c66520c92f62ad26adc0712c63882d36fdd2ee945ffcf0f2d53a4c65aab696250797ee75231c02f309b686c249d061d5bed61534840765e5ec8aa7009b05db9f6d793926b44aec38903fb391020c37294bfebd8a1370d597b69c418c0e4d8e97e41a16145d83d8e0027c0a27eef8e83,27.0,"CD45ONLY, PM",transplant_candidate,23000
immune_cells,D3_IC,https://explore.data.humancellatlas.org/projects/559bb888-7829-41f2-ace5-2c05c7eb81e9/get-curl-command,https://storage.googleapis.com/datarepo-464bbfaa-bucket/dfeadde7-818d-490b-9b06-2d923bc49091/82f29970-a3d6-4e61-88cc-dfeef1a9b225/HumanLiverImmuneCells_GSE125188_metadata_18-07-2023.xlsx?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=datarepo-jade-api%40terra-datarepo-production.iam.gserviceaccount.com%2F20240930%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240930T175624Z&X-Goog-Expires=900&X-Goog-SignedHeaders=host&requestedBy=azul-ucsc-0-public-prod%40platform-hca-prod.iam.gserviceaccount.com&userProject=datarepo-c35a61eb&X-Goog-Signature=769c3c8de5b2dfc1c9c9720bda6b827d9dba72faffcb0092da0e31ae3f5a7d45ed38b15b90baae1176fe616c56eee3880b765db7e35156b6d199a054928d96e360766be6d1d0451180d36d75a68a9bca930200fe39b4c9935b7c567e8e07782d658c1c229139e5174113cafa06d658758e832029494d4d5ea055c37ff0fcde6a7fc6376166c89f1f0c3aef3e8b6003a37c66520c92f62ad26adc0712c63882d36fdd2ee945ffcf0f2d53a4c65aab696250797ee75231c02f309b686c249d061d5bed61534840765e5ec8aa7009b05db9f6d793926b44aec38903fb391020c37294bfebd8a1370d597b69c418c0e4d8e97e41a16145d83d8e0027c0a27eef8e83,56.0,"CD45ONLY, PM",transplant_candidate,23000
macrophages,D1_MP,https://explore.data.humancellatlas.org/projects/4d6f6c96-2a83-43d8-8fe1-0f53bffd4674,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/e3f2b43a-9f2f-5d15-9df2-8677f2a6cc11.9ccdeae8-d057-5cde-ad9f-6736e27acb4f.tsv?response-content-disposition=attachment%3Bfilename%3D%22SingleCellLiverLandscape+2024-09-30+15.05.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHPCFAAVTA&Signature=vnUw2b2q6%2F3tlNFXaiUvPMIMSqY%3D&x-amz-security-token=IQoJb3JpZ2luX2VjEDMaCXVzLWVhc3QtMSJGMEQCIHees6bPa7P3o0ODWjEmat9lnbyPgWbo1PmPoIPVGAC%2FAiBQrTwRxRgUTOG%2F4NC1%2FrJdcEteua%2B5GJ%2FWL0JczPkbaCr2Agh8EAIaDDU0Mjc1NDU4OTMyNiIMiFgrKnuF0xp%2BVr2hKtMCH6xQy1c1PeSn16A%2FQsogWdU9B0FcLL4c40LvkKZkb82PzB1doYP2dCQYayjZ8LKIdUUqfqDyOaHxEX8mtu6%2B4MUbJa9C9ZQP9tS3O1%2Fom%2FARV0ytGw2w2zqLceFjtoGFXDL8J4BG8xdDrxyEB6Tsxf7zUCMjaQclR64cTci9coIJi7wFnGfeSz4P4VO5krQ8dwmiEie7WhUfPI9b3d3m07GbeQ8RKX%2Fx7qb%2BA7xFSiwSJNNx94IdYww6QGd%2BLFT618OwzleGcZ2cUjVsa%2BOvoUxSEkX0lO4V%2FsHwzbBHIRMSNNCDV90aWO142v2LtfrWvi4Th%2FCLOChp1hA%2BLluZF9dxdhAm9b4sF%2BENiH30WoODkm39%2FUE5I5opfuXMF%2BE%2BpTi1IFGS4XwDuQBbXZeUqioU%2F5OGuDqJG3wEBviJGszYCo8uHTtiRBIHNWj2bF79Lx2eMO%2FY67cGOp8B8FA6Rb3vfnn5s%2Bz8VaksGyDoBCZ7yCAaL3qM7RwlIzwod0GMq%2FDMInEwmVzSSIE5RHfcEQhHU2nBqOqUnILBYijYs%2Byuvy1x4UaweV4NEL1Jv7A%2BA6AtMgKt8ivgRbKQI0lrMo6Dta526%2F1q1YEJFjIOd08o6Z80Nwd1QoSNvY4YDb6U%2FmiCuCjUQ%2Fu%2BMzdVp8isOFIh9P8eOiBLCbOG&Expires=1727724667,21.0,"overweight, heroin overdose",Histopath,6000
macrophages,D2_MP,https://explore.data.humancellatlas.org/projects/4d6f6c96-2a83-43d8-8fe1-0f53bffd4674,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/e3f2b43a-9f2f-5d15-9df2-8677f2a6cc11.9ccdeae8-d057-5cde-ad9f-6736e27acb4f.tsv?response-content-disposition=attachment%3Bfilename%3D%22SingleCellLiverLandscape+2024-09-30+15.05.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHPCFAAVTA&Signature=vnUw2b2q6%2F3tlNFXaiUvPMIMSqY%3D&x-amz-security-token=IQoJb3JpZ2luX2VjEDMaCXVzLWVhc3QtMSJGMEQCIHees6bPa7P3o0ODWjEmat9lnbyPgWbo1PmPoIPVGAC%2FAiBQrTwRxRgUTOG%2F4NC1%2FrJdcEteua%2B5GJ%2FWL0JczPkbaCr2Agh8EAIaDDU0Mjc1NDU4OTMyNiIMiFgrKnuF0xp%2BVr2hKtMCH6xQy1c1PeSn16A%2FQsogWdU9B0FcLL4c40LvkKZkb82PzB1doYP2dCQYayjZ8LKIdUUqfqDyOaHxEX8mtu6%2B4MUbJa9C9ZQP9tS3O1%2Fom%2FARV0ytGw2w2zqLceFjtoGFXDL8J4BG8xdDrxyEB6Tsxf7zUCMjaQclR64cTci9coIJi7wFnGfeSz4P4VO5krQ8dwmiEie7WhUfPI9b3d3m07GbeQ8RKX%2Fx7qb%2BA7xFSiwSJNNx94IdYww6QGd%2BLFT618OwzleGcZ2cUjVsa%2BOvoUxSEkX0lO4V%2FsHwzbBHIRMSNNCDV90aWO142v2LtfrWvi4Th%2FCLOChp1hA%2BLluZF9dxdhAm9b4sF%2BENiH30WoODkm39%2FUE5I5opfuXMF%2BE%2BpTi1IFGS4XwDuQBbXZeUqioU%2F5OGuDqJG3wEBviJGszYCo8uHTtiRBIHNWj2bF79Lx2eMO%2FY67cGOp8B8FA6Rb3vfnn5s%2Bz8VaksGyDoBCZ7yCAaL3qM7RwlIzwod0GMq%2FDMInEwmVzSSIE5RHfcEQhHU2nBqOqUnILBYijYs%2Byuvy1x4UaweV4NEL1Jv7A%2BA6AtMgKt8ivgRbKQI0lrMo6Dta526%2F1q1YEJFjIOd08o6Z80Nwd1QoSNvY4YDb6U%2FmiCuCjUQ%2Fu%2BMzdVp8isOFIh9P8eOiBLCbOG&Expires=1727724667,26.0,obesity,Histopath,6000
macrophages,D3_MP,https://explore.data.humancellatlas.org/projects/4d6f6c96-2a83-43d8-8fe1-0f53bffd4674,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/e3f2b43a-9f2f-5d15-9df2-8677f2a6cc11.9ccdeae8-d057-5cde-ad9f-6736e27acb4f.tsv?response-content-disposition=attachment%3Bfilename%3D%22SingleCellLiverLandscape+2024-09-30+15.05.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHPCFAAVTA&Signature=vnUw2b2q6%2F3tlNFXaiUvPMIMSqY%3D&x-amz-security-token=IQoJb3JpZ2luX2VjEDMaCXVzLWVhc3QtMSJGMEQCIHees6bPa7P3o0ODWjEmat9lnbyPgWbo1PmPoIPVGAC%2FAiBQrTwRxRgUTOG%2F4NC1%2FrJdcEteua%2B5GJ%2FWL0JczPkbaCr2Agh8EAIaDDU0Mjc1NDU4OTMyNiIMiFgrKnuF0xp%2BVr2hKtMCH6xQy1c1PeSn16A%2FQsogWdU9B0FcLL4c40LvkKZkb82PzB1doYP2dCQYayjZ8LKIdUUqfqDyOaHxEX8mtu6%2B4MUbJa9C9ZQP9tS3O1%2Fom%2FARV0ytGw2w2zqLceFjtoGFXDL8J4BG8xdDrxyEB6Tsxf7zUCMjaQclR64cTci9coIJi7wFnGfeSz4P4VO5krQ8dwmiEie7WhUfPI9b3d3m07GbeQ8RKX%2Fx7qb%2BA7xFSiwSJNNx94IdYww6QGd%2BLFT618OwzleGcZ2cUjVsa%2BOvoUxSEkX0lO4V%2FsHwzbBHIRMSNNCDV90aWO142v2LtfrWvi4Th%2FCLOChp1hA%2BLluZF9dxdhAm9b4sF%2BENiH30WoODkm39%2FUE5I5opfuXMF%2BE%2BpTi1IFGS4XwDuQBbXZeUqioU%2F5OGuDqJG3wEBviJGszYCo8uHTtiRBIHNWj2bF79Lx2eMO%2FY67cGOp8B8FA6Rb3vfnn5s%2Bz8VaksGyDoBCZ7yCAaL3qM7RwlIzwod0GMq%2FDMInEwmVzSSIE5RHfcEQhHU2nBqOqUnILBYijYs%2Byuvy1x4UaweV4NEL1Jv7A%2BA6AtMgKt8ivgRbKQI0lrMo6Dta526%2F1q1YEJFjIOd08o6Z80Nwd1QoSNvY4YDb6U%2FmiCuCjUQ%2Fu%2BMzdVp8isOFIh9P8eOiBLCbOG&Expires=1727724667,41.0,"morbid obesity, tabaquism",Histopath,6000
macrophages,D4_MP,https://explore.data.humancellatlas.org/projects/4d6f6c96-2a83-43d8-8fe1-0f53bffd4674,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/e3f2b43a-9f2f-5d15-9df2-8677f2a6cc11.9ccdeae8-d057-5cde-ad9f-6736e27acb4f.tsv?response-content-disposition=attachment%3Bfilename%3D%22SingleCellLiverLandscape+2024-09-30+15.05.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHPCFAAVTA&Signature=vnUw2b2q6%2F3tlNFXaiUvPMIMSqY%3D&x-amz-security-token=IQoJb3JpZ2luX2VjEDMaCXVzLWVhc3QtMSJGMEQCIHees6bPa7P3o0ODWjEmat9lnbyPgWbo1PmPoIPVGAC%2FAiBQrTwRxRgUTOG%2F4NC1%2FrJdcEteua%2B5GJ%2FWL0JczPkbaCr2Agh8EAIaDDU0Mjc1NDU4OTMyNiIMiFgrKnuF0xp%2BVr2hKtMCH6xQy1c1PeSn16A%2FQsogWdU9B0FcLL4c40LvkKZkb82PzB1doYP2dCQYayjZ8LKIdUUqfqDyOaHxEX8mtu6%2B4MUbJa9C9ZQP9tS3O1%2Fom%2FARV0ytGw2w2zqLceFjtoGFXDL8J4BG8xdDrxyEB6Tsxf7zUCMjaQclR64cTci9coIJi7wFnGfeSz4P4VO5krQ8dwmiEie7WhUfPI9b3d3m07GbeQ8RKX%2Fx7qb%2BA7xFSiwSJNNx94IdYww6QGd%2BLFT618OwzleGcZ2cUjVsa%2BOvoUxSEkX0lO4V%2FsHwzbBHIRMSNNCDV90aWO142v2LtfrWvi4Th%2FCLOChp1hA%2BLluZF9dxdhAm9b4sF%2BENiH30WoODkm39%2FUE5I5opfuXMF%2BE%2BpTi1IFGS4XwDuQBbXZeUqioU%2F5OGuDqJG3wEBviJGszYCo8uHTtiRBIHNWj2bF79Lx2eMO%2FY67cGOp8B8FA6Rb3vfnn5s%2Bz8VaksGyDoBCZ7yCAaL3qM7RwlIzwod0GMq%2FDMInEwmVzSSIE5RHfcEQhHU2nBqOqUnILBYijYs%2Byuvy1x4UaweV4NEL1Jv7A%2BA6AtMgKt8ivgRbKQI0lrMo6Dta526%2F1q1YEJFjIOd08o6Z80Nwd1QoSNvY4YDb6U%2FmiCuCjUQ%2Fu%2BMzdVp8isOFIh9P8eOiBLCbOG&Expires=1727724667,44.0,"obesity, alcoholic, tabaquism",Histopath,6000
