bundle_uuid,proyect,ident_sample,chemistry
adae2426-2344-4936-a109-8b55c3a36067,allograft_dysfunction,D1_TRANS,10x3'v3
acb88de1-10a9-4235-8924-1f11302abfb0,allograft_dysfunction,D1_TRANS,10x3'v3
c4de9980-ab28-495f-afc4-c1b8df553f3b,allograft_dysfunction,D1_TRANS,10x3'v3
124d5a5f-41cc-4b36-afb9-86f0e1fdf352,allograft_dysfunction,D1_TRANS,10x3'v3
c27f755e-2d44-4065-a2da-b6d223120a7d,allograft_dysfunction,D2_TRANS,10x3'v3
b94b64fb-a725-48b5-9988-9d81731e9c17,allograft_dysfunction,D2_TRANS,10x3'v3
028e8155-db87-40b4-98c9-b3e020b38bb1,allograft_dysfunction,D2_TRANS,10x3'v3
2a627e25-0871-44b7-a677-8e4c3e169778,allograft_dysfunction,D2_TRANS,10x3'v3
d78351f8-dc6d-48e6-9161-c0b388ad1dc6,allograft_dysfunction,D3_TRANS,10x3'v3
9839bfde-83e8-4cfe-a302-c7ffed0f521f,allograft_dysfunction,D3_TRANS,10x3'v3
9ba0670e-671a-4931-97ee-56c35646e12b,allograft_dysfunction,D3_TRANS,10x3'v3
1bd2adfc-4df3-4ad8-a233-f37e53774820,allograft_dysfunction,D3_TRANS,10x3'v3
0f3d8d91-729a-4acf-a0e4-8bc88d38dd59,allograft_dysfunction,D4_TRANS,10x3'v3
45a03cbc-ded3-4595-be1b-0efe30670edf,allograft_dysfunction,D4_TRANS,10x3'v3
24860e6b-1564-4325-85bb-ec712711b75b,allograft_dysfunction,D4_TRANS,10x3'v3
00b210ce-e9b3-4752-a15a-0faa4b78fda8,allograft_dysfunction,D4_TRANS,10x3'v3
ccfb0bf6-096e-44a5-9583-2c25df9b2e58,cross_immune,D1_A29,10x5'v1
0b3e07e7-3ed1-4bee-b31a-a8dfd41eb4e5,cross_immune,D2_A31,10x5'v1
cac1cd88-d134-44cb-a664-5e07c1c7a746,cross_immune,D3_A35,10x5'v1
c375c814-a7e0-44a2-b8c6-1d1642981580,cross_immune,D4_A36,10x5'v1
8b50490f-ae6f-4fcc-8dc6-461fc0677deb,cross_immune,D5_A52,10x5'v1
d04e53b9-c7d3-456b-be89-20270cf6b8a1,fibrotic,D1_H,10x3'v2
5b2983c5-da6f-41d3-94d3-b83bac308ab7,fibrotic,D1_H,10x3'v2
ba773819-e781-4669-8b02-d2b550a15d7f,fibrotic,D1_H,10x3'v2
f29a0157-7318-4f1e-ac97-a38cbf80eaae,fibrotic,D2_H,10x3'v2
d82664c5-9877-4c61-8591-870e59f44714,fibrotic,D2_H,10x3'v2
ac7f6113-5c2c-41a4-8c2c-56c6f86d9fac,fibrotic,D3_H,10x3'v2
92d19d2d-7bf2-4d9d-86b0-2f12ffdef096,fibrotic,D3_H,10x3'v2
