group,names,logfoldchanges,cell.type,organ
0,PRKCA,2.6427498,Plasmacytoid dendritic cells,Immune system
0,PRKCA,2.6427498,Plasmacytoid dendritic cells,Immune system
0,PRKCA,2.6427498,Plasmacytoid dendritic cells,Immune system
0,PRKCA,2.6427498,Plasmacytoid dendritic cells,Immune system
0,HNF4A,2.7822747,Hepatoblasts,Liver
0,HNF4A,2.7822747,Hepatoblasts,Liver
0,HNF4A,2.7822747,Hepatocytes,Liver
0,HNF4A,2.7822747,Hepatocytes,Liver
0,FOXP1,2.3512287,B cells naive,Immune system
0,FOXP1,2.3512287,B cells naive,Immune system
0,FOXP1,2.3512287,B cells naive,Immune system
0,DENND5B,2.5066264,B cells memory,Immune system
0,DENND5B,2.5066264,B cells memory,Immune system
0,DENND5B,2.5066264,B cells memory,Immune system
0,DENND5B,2.5066264,Plasma cells,Immune system
0,DENND5B,2.5066264,Plasma cells,Immune system
0,DENND5B,2.5066264,Plasma cells,Immune system
0,MGST2,2.4766052,Mast cells,Immune system
0,MGST2,2.4766052,Mast cells,Immune system
0,LRP1,2.1232963,Megakaryocytes,Immune system
0,CADM1,2.1452847,Dendritic cells,Immune system
0,CADM1,2.1452847,Dendritic cells,Immune system
0,CADM1,2.1452847,Dendritic cells,Immune system
0,CADM1,2.1452847,Dendritic cells,Immune system
0,CADM1,2.1452847,Dendritic cells,Immune system
0,SUPT3H,2.2034562,Basophils,Immune system
0,SUPT3H,2.2034562,Basophils,Immune system
0,SUPT3H,2.2034562,Basophils,Immune system
0,SUPT3H,2.2034562,Basophils,Immune system
0,TSPAN9,2.0833437,Megakaryocytes,Immune system
0,TSPAN9,2.0833437,Megakaryocytes,Immune system
0,TSPAN9,2.0833437,Megakaryocytes,Immune system
0,TSPAN9,2.0833437,Megakaryocytes,Immune system
0,TSPAN9,2.0833437,Megakaryocytes,Immune system
0,MEG3,2.0733752,Hepatic stellate cells,Liver
0,MEG3,2.0733752,Hepatic stellate cells,Liver
0,MEG3,2.0733752,Hepatic stellate cells,Liver
0,MEG3,2.0733752,Hepatic stellate cells,Liver
0,MEG3,2.0733752,Hepatic stellate cells,Liver
0,MEG3,2.0733752,Hepatic stellate cells,Liver
0,CUX2,2.5011556,Plasmacytoid dendritic cells,Immune system
0,CUX2,2.5011556,Plasmacytoid dendritic cells,Immune system
0,MME,2.9473677,B cells,Immune system
0,MME,2.9473677,B cells,Immune system
0,MME,2.9473677,B cells,Immune system
0,MME,2.9473677,B cells naive,Immune system
0,MME,2.9473677,B cells naive,Immune system
0,MME,2.9473677,B cells naive,Immune system
0,MME,2.9473677,Neutrophils,Immune system
0,MME,2.9473677,Neutrophils,Immune system
0,MME,2.9473677,Neutrophils,Immune system
0,CDH1,2.6911457,Basophils,Immune system
0,CDH1,2.6911457,Basophils,Immune system
0,CDH1,2.6911457,Basophils,Immune system
0,CDH1,2.6911457,Basophils,Immune system
0,CDH1,2.6911457,Hepatoblasts,Liver
0,CDH1,2.6911457,Hepatoblasts,Liver
0,CDH1,2.6911457,Hepatoblasts,Liver
0,CDH1,2.6911457,Hepatoblasts,Liver
0,CDH1,2.6911457,Hepatocytes,Liver
0,CDH1,2.6911457,Hepatocytes,Liver
0,CDH1,2.6911457,Hepatocytes,Liver
0,CDH1,2.6911457,Hepatocytes,Liver
0,CDH1,2.6911457,Plasmacytoid dendritic cells,Immune system
0,CDH1,2.6911457,Plasmacytoid dendritic cells,Immune system
0,CDH1,2.6911457,Plasmacytoid dendritic cells,Immune system
0,CDH1,2.6911457,Plasmacytoid dendritic cells,Immune system
0,LRP5,2.0917997,Hepatocytes,Liver
0,LRP5,2.0917997,Hepatocytes,Liver
